Report refresh date,Report date,Internal active users,Active guests,External active users,Active channels,Active shared channels,Total organized meetings,Posts,Replies,Mentions,Reactions,Urgent messages,Channel messages
"2025-09-16","2025-08-18",37,0,0,21,0,0,0,1,0,0,0,1
"2025-09-16","2025-08-19",32,0,0,15,0,0,1,4,0,7,0,5
"2025-09-16","2025-08-20",34,0,0,20,0,1,2,0,0,0,0,2
"2025-09-16","2025-08-21",25,0,0,21,0,1,0,0,0,0,0,0
"2025-09-16","2025-08-22",25,0,0,20,0,0,0,0,0,0,0,0
"2025-09-16","2025-08-23",3,0,0,4,0,0,0,0,0,0,0,0
"2025-09-16","2025-08-24",3,0,0,5,0,0,0,0,0,0,0,0
"2025-09-16","2025-08-25",25,0,0,29,0,0,0,0,0,0,0,0
"2025-09-16","2025-08-26",30,0,0,28,0,1,1,0,1,3,0,1
"2025-09-16","2025-08-27",17,0,0,17,0,0,0,0,0,0,0,0
"2025-09-16","2025-08-28",39,0,0,33,0,0,1,4,2,0,0,5
"2025-09-16","2025-08-29",31,0,0,23,0,0,0,2,0,0,0,2
"2025-09-16","2025-08-30",1,0,0,2,0,0,0,0,0,0,0,0
"2025-09-16","2025-08-31",3,0,0,4,0,0,0,0,0,0,0,0
"2025-09-16","2025-09-01",19,0,0,16,0,2,0,0,0,0,0,0
"2025-09-16","2025-09-02",33,0,0,25,0,0,0,0,0,0,0,0
"2025-09-16","2025-09-03",35,0,0,25,0,0,1,2,0,1,0,3
"2025-09-16","2025-09-04",23,0,0,17,0,0,0,0,0,0,0,0
"2025-09-16","2025-09-05",20,0,0,18,0,0,0,0,0,0,0,0
"2025-09-16","2025-09-06",1,0,0,0,0,0,0,0,0,0,0,0
"2025-09-16","2025-09-07",3,0,0,3,0,0,0,0,0,0,0,0
"2025-09-16","2025-09-08",33,0,0,29,0,0,3,0,0,0,0,3
"2025-09-16","2025-09-09",36,0,0,28,0,1,2,2,0,0,0,4
"2025-09-16","2025-09-10",33,0,0,28,0,0,2,7,6,5,0,9
"2025-09-16","2025-09-11",37,0,0,30,0,0,1,2,0,5,0,3
"2025-09-16","2025-09-12",37,0,0,28,0,2,2,6,3,4,0,8
"2025-09-16","2025-09-13",3,0,0,2,0,0,0,0,0,0,0,0
"2025-09-16","2025-09-14",3,0,0,3,0,0,0,0,0,0,0,0
"2025-09-16","2025-09-15",33,0,0,21,0,0,1,2,4,0,0,3
"2025-09-16","2025-09-16",41,0,0,31,0,0,0,1,0,0,0,1
